epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.9641,0.53424,1.75884,0.98061,0.78945,0.72264,0.83378,0.70995,0.46838,2.28548,0.90992,0.00054409,0.00054409,0.00054409
2,46.8114,0.52597,1.16399,0.95037,0.90267,0.71252,0.89512,0.84107,0.43919,1.18346,0.8739,0.00107798,0.00107798,0.00107798
3,64.4039,0.57719,1.01651,0.97617,0.70158,0.87466,0.88564,0.8035,0.44078,1.29763,0.86705,0.00158987,0.00158987,0.00158987
4,80.8549,0.51433,0.8785,0.93046,0.8242,0.77562,0.89554,0.80675,0.50486,1.44548,0.9077,0.00156798,0.00156798,0.00156798
5,97.3587,0.50071,0.78754,0.941,0.762,0.99717,0.95055,0.89042,0.38203,0.80125,0.86732,0.00153497,0.00153497,0.00153497
6,114.072,0.48501,0.73733,0.93058,0.83542,0.77865,0.87811,0.85622,0.2956,0.81384,0.83962,0.00150197,0.00150197,0.00150197
7,131.04,0.4823,0.70715,0.93156,0.90831,0.84852,0.95368,0.91247,0.31985,0.68162,0.84866,0.00146896,0.00146896,0.00146896
8,149.258,0.4336,0.6343,0.91605,0.75006,1,0.95737,0.88456,0.34384,0.71458,0.84428,0.00143595,0.00143595,0.00143595
9,167.2,0.44569,0.59663,0.91565,0.73032,0.9093,0.91872,0.8257,0.3707,0.74358,0.87894,0.00140295,0.00140295,0.00140295
10,185.324,0.40292,0.5648,0.89277,0.77346,0.91117,0.94765,0.93303,0.27608,0.65396,0.81905,0.00136994,0.00136994,0.00136994
11,203.532,0.41278,0.55927,0.89902,0.83388,0.93103,0.95878,0.93105,0.34297,0.51059,0.84854,0.00133693,0.00133693,0.00133693
12,221.793,0.3774,0.54333,0.89073,0.91206,0.76424,0.94231,0.92068,0.29282,0.53811,0.8359,0.00130393,0.00130393,0.00130393
13,240.212,0.38481,0.51253,0.90045,0.78714,0.92279,0.94756,0.91393,0.31549,0.62707,0.84315,0.00127092,0.00127092,0.00127092
14,259.302,0.37166,0.51041,0.8915,0.92879,0.86207,0.9546,0.93021,0.29475,0.48247,0.82916,0.00123791,0.00123791,0.00123791
15,279.037,0.37665,0.53707,0.89057,0.81487,0.92759,0.95159,0.9269,0.27003,0.50284,0.81731,0.00120491,0.00120491,0.00120491
16,298.355,0.35638,0.51029,0.88455,0.73811,0.98276,0.94713,0.91535,0.2946,0.65545,0.82944,0.0011719,0.0011719,0.0011719
17,316.086,0.35154,0.49145,0.88679,0.75255,1,0.96159,0.9329,0.27772,0.51896,0.82581,0.00113889,0.00113889,0.00113889
18,334.105,0.35564,0.48385,0.88484,0.91908,0.84841,0.95198,0.92965,0.26761,0.47106,0.82641,0.00110589,0.00110589,0.00110589
19,352.525,0.34794,0.49558,0.88857,0.8949,0.86207,0.94791,0.92367,0.28841,0.48267,0.82905,0.00107288,0.00107288,0.00107288
20,369.644,0.32811,0.47387,0.87619,0.83971,0.88118,0.95865,0.93745,0.25174,0.48581,0.81793,0.00103987,0.00103987,0.00103987
21,386.947,0.33481,0.45854,0.8804,0.80207,0.90945,0.95392,0.93768,0.28637,0.44619,0.82608,0.00100687,0.00100687,0.00100687
22,404.449,0.32166,0.44918,0.87512,0.82214,0.90459,0.94858,0.93718,0.24812,0.43392,0.81667,0.000973861,0.000973861,0.000973861
23,421.852,0.31556,0.45358,0.87027,0.93021,0.84005,0.96599,0.95498,0.22427,0.40472,0.81173,0.000940855,0.000940855,0.000940855
24,439.265,0.3151,0.43623,0.87618,0.74048,0.97826,0.95078,0.93333,0.24043,0.56531,0.813,0.000907848,0.000907848,0.000907848
25,456.442,0.30625,0.44576,0.86858,0.81854,0.94828,0.95464,0.93176,0.24836,0.42801,0.81861,0.000874842,0.000874842,0.000874842
26,474.057,0.29342,0.42147,0.86843,0.80842,0.93103,0.95227,0.94341,0.22374,0.43146,0.80911,0.000841835,0.000841835,0.000841835
27,491.553,0.28905,0.42749,0.87249,0.79547,0.96058,0.95452,0.94541,0.22149,0.41295,0.81577,0.000808828,0.000808828,0.000808828
28,509.182,0.27828,0.41441,0.86387,0.79762,0.95618,0.95692,0.94325,0.23603,0.41971,0.82171,0.000775822,0.000775822,0.000775822
29,527.32,0.27717,0.40025,0.85725,0.79877,0.95237,0.95064,0.93905,0.21042,0.39361,0.80906,0.000742815,0.000742815,0.000742815
30,545.851,0.26717,0.39734,0.86061,0.80238,0.93882,0.95313,0.94384,0.23157,0.39063,0.81178,0.000709809,0.000709809,0.000709809
31,563.825,0.26551,0.39894,0.85757,0.78794,0.94828,0.95227,0.93842,0.23307,0.38691,0.81846,0.000676802,0.000676802,0.000676802
32,581.419,0.27899,0.38924,0.8695,0.78975,0.96552,0.95531,0.94303,0.21374,0.39143,0.81358,0.000643795,0.000643795,0.000643795
33,598.606,0.25862,0.40307,0.85957,0.88384,0.85654,0.9557,0.94264,0.20212,0.46451,0.80529,0.000610789,0.000610789,0.000610789
34,615.865,0.24659,0.39004,0.85217,0.8062,0.95987,0.95931,0.95213,0.18699,0.36989,0.80614,0.000577782,0.000577782,0.000577782
35,633.661,0.25467,0.38556,0.86372,0.78623,0.93132,0.95014,0.94298,0.19512,0.42306,0.80541,0.000544776,0.000544776,0.000544776
36,651.159,0.2477,0.38669,0.86314,0.79456,0.96545,0.95322,0.94533,0.20453,0.36569,0.80553,0.000511769,0.000511769,0.000511769
37,675.108,0.23877,0.36332,0.8529,0.7953,0.96552,0.95546,0.94578,0.19725,0.37107,0.80883,0.000478762,0.000478762,0.000478762
38,718.79,0.23817,0.37812,0.85422,0.80017,0.94579,0.95753,0.95243,0.18226,0.40921,0.80116,0.000445756,0.000445756,0.000445756
39,881.871,0.23029,0.37389,0.8469,0.81274,0.93069,0.95605,0.9507,0.19612,0.39429,0.80694,0.000412749,0.000412749,0.000412749
