epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3832,0.69924,2.18562,1.15886,0.97856,0.23404,0.58384,0.50506,0.48724,2.97245,0.98882,0.0005001,0.0005001,0.0005001
2,33.7728,0.6889,1.57169,1.11154,0.73677,0.79127,0.79754,0.68877,0.58797,2.42339,1.09813,0.000996736,0.000996736,0.000996736
3,44.042,0.71282,1.33706,1.1149,0.29503,0.44094,0.19554,0.10869,1.67136,5.62152,2.28433,0.00147291,0.00147291,0.00147291
4,54.3337,0.74604,1.27606,1.1395,0.7673,0.43103,0.47425,0.29164,0.92794,3.21079,1.45243,0.00156798,0.00156798,0.00156798
5,64.601,0.74924,1.20812,1.13143,0.72211,0.77793,0.72115,0.61672,0.50724,2.66929,0.98146,0.00153497,0.00153497,0.00153497
6,75.3544,0.73064,1.08811,1.11736,0.69083,0.70746,0.7594,0.67585,0.612,1.7456,1.06259,0.00150197,0.00150197,0.00150197
7,86.5699,0.70871,1.01708,1.11928,0.84289,0.72634,0.80336,0.64647,0.56745,1.92303,1.07292,0.00146896,0.00146896,0.00146896
8,97.6053,0.72023,0.99074,1.11209,0.70517,0.65142,0.85701,0.69648,0.70834,1.61305,1.29056,0.00143595,0.00143595,0.00143595
9,110.2,0.65697,0.94942,1.0845,0.74852,0.82869,0.86315,0.61108,0.63301,1.3709,1.01379,0.00140295,0.00140295,0.00140295
10,125.168,0.63741,0.89391,1.08314,0.73487,0.83131,0.91283,0.8369,0.43734,1.28069,0.95126,0.00136994,0.00136994,0.00136994
11,145.224,0.63495,0.82176,1.07518,0.73024,0.94646,0.91516,0.85151,0.45714,0.89063,0.95917,0.00133693,0.00133693,0.00133693
12,160.164,0.62853,0.77432,1.0522,0.82742,0.84914,0.91881,0.85292,0.39877,0.81182,0.88282,0.00130393,0.00130393,0.00130393
13,171.713,0.60553,0.80182,1.03936,0.74321,0.8608,0.90683,0.84591,0.41129,0.86205,0.91228,0.00127092,0.00127092,0.00127092
14,183.853,0.5827,0.73098,1.02586,0.78836,0.90426,0.93814,0.84008,0.40915,1.00365,0.91485,0.00123791,0.00123791,0.00123791
15,195.713,0.57218,0.68332,1.02632,0.74603,0.96881,0.93504,0.89067,0.39411,0.88497,0.87922,0.00120491,0.00120491,0.00120491
16,207.686,0.52868,0.68823,1.0244,0.8161,0.89293,0.94063,0.88186,0.36685,0.74556,0.86668,0.0011719,0.0011719,0.0011719
17,224.37,0.52478,0.66434,1.00299,0.81481,0.87705,0.86881,0.78767,0.50747,0.79722,0.95326,0.00113889,0.00113889,0.00113889
18,236.113,0.54353,0.66638,1.03147,0.83016,0.93103,0.95577,0.91862,0.32546,0.59817,0.8612,0.00110589,0.00110589,0.00110589
19,247.633,0.50836,0.64654,1.02554,0.77751,0.90426,0.95148,0.91983,0.24963,0.7863,0.833,0.00107288,0.00107288,0.00107288
20,258.672,0.50197,0.66645,1.00517,0.89548,0.84083,0.94167,0.90364,0.28188,0.62064,0.83824,0.00103987,0.00103987,0.00103987
21,270.375,0.48305,0.61769,0.99471,0.73913,0.98163,0.95294,0.89945,0.36719,0.68761,0.8602,0.00100687,0.00100687,0.00100687
22,282.809,0.48707,0.62493,0.984,0.86741,0.89601,0.95744,0.93858,0.27648,0.55301,0.83529,0.000973861,0.000973861,0.000973861
23,294.534,0.48352,0.62314,0.99337,0.80132,0.92296,0.95571,0.93623,0.2795,0.60136,0.85693,0.000940855,0.000940855,0.000940855
24,306.397,0.45598,0.60361,0.97757,0.8583,0.82688,0.94977,0.9107,0.272,0.67122,0.83297,0.000907848,0.000907848,0.000907848
25,318.119,0.47068,0.58453,0.98608,0.75039,0.95745,0.95117,0.91954,0.29648,0.62298,0.83298,0.000874842,0.000874842,0.000874842
26,330.505,0.4602,0.57444,0.99019,0.87391,0.80751,0.92827,0.90433,0.29496,0.71952,0.83466,0.000841835,0.000841835,0.000841835
27,342.05,0.45989,0.60584,0.99297,0.84871,0.92462,0.96199,0.92242,0.30017,0.55925,0.86204,0.000808828,0.000808828,0.000808828
28,353.833,0.44679,0.57769,0.99452,0.79749,0.96351,0.96059,0.9316,0.26925,0.50797,0.83456,0.000775822,0.000775822,0.000775822
29,365.56,0.41181,0.55651,0.95707,0.79779,0.96552,0.95782,0.92873,0.27465,0.47407,0.8331,0.000742815,0.000742815,0.000742815
30,377.614,0.42052,0.53072,0.97389,0.74317,1,0.96359,0.94607,0.24493,0.54457,0.80822,0.000709809,0.000709809,0.000709809
31,389.965,0.39872,0.52154,0.96433,0.82773,0.93103,0.95904,0.94074,0.23586,0.50338,0.82128,0.000676802,0.000676802,0.000676802
32,402.13,0.41761,0.54496,0.96564,0.92456,0.85217,0.95485,0.93681,0.24461,0.47907,0.81863,0.000643795,0.000643795,0.000643795
33,413.715,0.40096,0.52556,0.95911,0.91655,0.8474,0.95468,0.93868,0.23075,0.49257,0.82209,0.000610789,0.000610789,0.000610789
34,425.593,0.40492,0.54058,0.96111,0.80058,0.97236,0.95791,0.93242,0.29215,0.49108,0.83577,0.000577782,0.000577782,0.000577782
35,437.152,0.3975,0.52861,0.96457,0.89715,0.83117,0.96118,0.94084,0.2534,0.47814,0.83026,0.000544776,0.000544776,0.000544776
36,449.415,0.39472,0.51223,0.95918,0.79101,0.96552,0.96006,0.9386,0.2131,0.45436,0.81031,0.000511769,0.000511769,0.000511769
37,461.502,0.3796,0.47364,0.95234,0.83585,0.87691,0.95463,0.94096,0.22699,0.51988,0.80644,0.000478762,0.000478762,0.000478762
38,473.512,0.36041,0.4825,0.95096,0.80468,0.93791,0.95133,0.93165,0.22005,0.45788,0.80374,0.000445756,0.000445756,0.000445756
39,484.624,0.35875,0.48822,0.94271,0.81139,0.92296,0.95741,0.94109,0.21164,0.49394,0.81159,0.000412749,0.000412749,0.000412749
40,495.627,0.36038,0.49005,0.9436,0.82216,0.90339,0.95664,0.94908,0.1934,0.54624,0.7927,0.000379743,0.000379743,0.000379743
41,566.145,0.2701,0.4434,0.88868,0.80266,0.97766,0.96248,0.94137,0.22578,0.46559,0.80648,0.000346736,0.000346736,0.000346736
42,576.384,0.25664,0.42057,0.8684,0.97484,0.7627,0.9606,0.9457,0.22358,0.48818,0.8058,0.000313729,0.000313729,0.000313729
43,587.406,0.23409,0.40443,0.86316,0.8203,0.94021,0.96011,0.94659,0.1998,0.48968,0.79916,0.000280723,0.000280723,0.000280723
44,598.012,0.22653,0.37622,0.85622,0.79742,0.93728,0.95378,0.93993,0.22396,0.44502,0.81646,0.000247716,0.000247716,0.000247716
45,608.687,0.22486,0.36972,0.84879,0.84832,0.86977,0.95392,0.93537,0.22129,0.46044,0.80926,0.00021471,0.00021471,0.00021471
46,619.579,0.21502,0.36867,0.85427,0.90481,0.83248,0.9579,0.94712,0.1983,0.44589,0.79575,0.000181703,0.000181703,0.000181703
47,630.481,0.21057,0.36849,0.85993,0.80629,0.94333,0.95644,0.94603,0.19357,0.4189,0.79471,0.000148696,0.000148696,0.000148696
48,641.497,0.19818,0.35968,0.83564,0.97418,0.79651,0.9529,0.94496,0.17646,0.40784,0.78683,0.00011569,0.00011569,0.00011569
49,652.592,0.19192,0.35519,0.8435,0.80633,0.93395,0.96258,0.95367,0.1855,0.42307,0.79049,8.26832e-05,8.26832e-05,8.26832e-05
50,663.752,0.18163,0.34621,0.83103,0.97356,0.79704,0.96039,0.95199,0.16822,0.40823,0.78627,4.96766e-05,4.96766e-05,4.96766e-05
