dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1802-05-01,32.34500000000001,1.896,Ahmadabad,India,23.31N,72.52E
1802-06-01,33.111000000000004,1.6980000000000002,Ahmadabad,India,23.31N,72.52E
1802-07-01,29.572,1.74,Ahmadabad,India,23.31N,72.52E
1802-08-01,27.845,1.579,Ahmadabad,India,23.31N,72.52E
1802-09-01,28.53,1.877,Ahmadabad,India,23.31N,72.52E
1802-10-01,27.781999999999996,2.957,Ahmadabad,India,23.31N,72.52E
1802-11-01,23.939,1.986,Ahmadabad,India,23.31N,72.52E
1802-12-01,19.971,1.901,Ahmadabad,India,23.31N,72.52E
1803-01-01,18.037,2.06,Ahmadabad,India,23.31N,72.52E
1803-02-01,20.618,2.717,Ahmadabad,India,23.31N,72.52E
1803-03-01,25.958000000000002,2.26,Ahmadabad,India,23.31N,72.52E
1803-04-01,31.401,1.859,Ahmadabad,India,23.31N,72.52E
1803-05-01,33.496,1.669,Ahmadabad,India,23.31N,72.52E
1803-06-01,32.352000000000004,1.53,Ahmadabad,India,23.31N,72.52E
1803-07-01,29.666,1.632,Ahmadabad,India,23.31N,72.52E
1803-08-01,29.065,1.824,Ahmadabad,India,23.31N,72.52E
1803-09-01,28.665,1.639,Ahmadabad,India,23.31N,72.52E
1803-10-01,27.513,2.4730000000000003,Ahmadabad,India,23.31N,72.52E
1803-11-01,24.439,2.224,Ahmadabad,India,23.31N,72.52E
1803-12-01,19.991,2.384,Ahmadabad,India,23.31N,72.52E
1804-01-01,19.881,3.444,Ahmadabad,India,23.31N,72.52E
1804-02-01,21.393,1.927,Ahmadabad,India,23.31N,72.52E
1804-03-01,25.839000000000002,3.176,Ahmadabad,India,23.31N,72.52E
1804-04-01,32.254000000000005,1.877,Ahmadabad,India,23.31N,72.52E
1804-05-01,33.846000000000004,1.737,Ahmadabad,India,23.31N,72.52E
1804-06-01,32.611999999999995,1.536,Ahmadabad,India,23.31N,72.52E
1804-07-01,30.436,2.2430000000000003,Ahmadabad,India,23.31N,72.52E
1804-08-01,28.063000000000002,1.7080000000000002,Ahmadabad,India,23.31N,72.52E
1804-09-01,28.454,2.951,Ahmadabad,India,23.31N,72.52E
1804-10-01,27.342,1.918,Ahmadabad,India,23.31N,72.52E
1804-11-01,25.320999999999998,3.168,Ahmadabad,India,23.31N,72.52E
1804-12-01,19.669,3.164,Ahmadabad,India,23.31N,72.52E
1805-01-01,19.761,1.826,Ahmadabad,India,23.31N,72.52E
1805-02-01,21.439,2.302,Ahmadabad,India,23.31N,72.52E
1805-03-01,26.656999999999996,1.781,Ahmadabad,India,23.31N,72.52E
1805-04-01,30.156999999999996,2.122,Ahmadabad,India,23.31N,72.52E
1805-05-01,33.18000000000001,1.37,Ahmadabad,India,23.31N,72.52E
1805-06-01,32.649,2.246,Ahmadabad,India,23.31N,72.52E
1805-07-01,28.906999999999996,1.774,Ahmadabad,India,23.31N,72.52E
1805-08-01,28.56,1.365,Ahmadabad,India,23.31N,72.52E
1805-09-01,27.929000000000002,2.065,Ahmadabad,India,23.31N,72.52E
1805-10-01,25.967,2.039,Ahmadabad,India,23.31N,72.52E
1805-11-01,23.513,2.571,Ahmadabad,India,23.31N,72.52E
1805-12-01,21.269000000000002,1.55,Ahmadabad,India,23.31N,72.52E
1806-01-01,19.702,1.925,Ahmadabad,India,23.31N,72.52E
1806-02-01,21.519,2.471,Ahmadabad,India,23.31N,72.52E
1806-03-01,25.726,2.083,Ahmadabad,India,23.31N,72.52E
1806-04-01,30.465,2.7260000000000004,Ahmadabad,India,23.31N,72.52E
1806-05-01,33.192,1.767,Ahmadabad,India,23.31N,72.52E
1806-06-01,30.811999999999998,1.784,Ahmadabad,India,23.31N,72.52E
1806-07-01,28.726999999999997,1.642,Ahmadabad,India,23.31N,72.52E
1806-08-01,28.193,1.727,Ahmadabad,India,23.31N,72.52E
1806-09-01,28.77,1.973,Ahmadabad,India,23.31N,72.52E
1806-10-01,26.883000000000003,1.5730000000000002,Ahmadabad,India,23.31N,72.52E
1806-11-01,24.034,1.862,Ahmadabad,India,23.31N,72.52E
1806-12-01,20.874000000000002,2.067,Ahmadabad,India,23.31N,72.52E
1807-01-01,18.445,2.273,Ahmadabad,India,23.31N,72.52E
1807-02-01,21.416,2.927,Ahmadabad,India,23.31N,72.52E
1807-03-01,,,Ahmadabad,India,23.31N,72.52E
1807-04-01,,,Ahmadabad,India,23.31N,72.52E
1807-05-01,31.055000000000003,1.71,Ahmadabad,India,23.31N,72.52E
1807-06-01,32.19,1.504,Ahmadabad,India,23.31N,72.52E
1807-07-01,29.279,2.134,Ahmadabad,India,23.31N,72.52E
1807-08-01,27.708000000000002,1.89,Ahmadabad,India,23.31N,72.52E
1807-09-01,28.481,1.5830000000000002,Ahmadabad,India,23.31N,72.52E
1807-10-01,26.836,1.537,Ahmadabad,India,23.31N,72.52E
1807-11-01,24.087,2.225,Ahmadabad,India,23.31N,72.52E
1807-12-01,21.5,1.7380000000000002,Ahmadabad,India,23.31N,72.52E
1808-01-01,,,Ahmadabad,India,23.31N,72.52E
1808-02-01,,,Ahmadabad,India,23.31N,72.52E
1808-03-01,,,Ahmadabad,India,23.31N,72.52E
1808-04-01,,,Ahmadabad,India,23.31N,72.52E
1808-05-01,,,Ahmadabad,India,23.31N,72.52E
1808-06-01,,,Ahmadabad,India,23.31N,72.52E
1808-07-01,,,Ahmadabad,India,23.31N,72.52E
1808-08-01,,,Ahmadabad,India,23.31N,72.52E
1808-09-01,,,Ahmadabad,India,23.31N,72.52E
1808-10-01,,,Ahmadabad,India,23.31N,72.52E
1808-11-01,,,Ahmadabad,India,23.31N,72.52E
1808-12-01,,,Ahmadabad,India,23.31N,72.52E
1809-01-01,,,Ahmadabad,India,23.31N,72.52E
1809-02-01,,,Ahmadabad,India,23.31N,72.52E
1809-03-01,,,Ahmadabad,India,23.31N,72.52E
1809-04-01,,,Ahmadabad,India,23.31N,72.52E
1809-05-01,,,Ahmadabad,India,23.31N,72.52E
1809-06-01,,,Ahmadabad,India,23.31N,72.52E
