epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8566,0.64208,2.02365,1.17021,0.00301,1,0.92659,0.78168,0.53078,3.36412,1.19777,0.0005001,0.0005001,0.0005001
2,28.3033,0.58706,1.33167,1.11639,0.91294,0.96487,0.97709,0.88167,0.50425,1.9034,1.18966,0.000996736,0.000996736,0.000996736
3,39.1295,0.59784,1.1257,1.11497,0.90158,0.89341,0.93605,0.73436,0.73617,2.32802,1.45217,0.00147291,0.00147291,0.00147291
4,50.1076,0.58473,1.02732,1.0789,0.82138,0.94803,0.95222,0.84548,0.5701,1.68799,1.30006,0.00156798,0.00156798,0.00156798
5,61.26,0.57033,0.93704,1.07598,0.92743,0.97533,0.98871,0.82323,0.67583,1.58736,1.40228,0.00153497,0.00153497,0.00153497
6,72.6982,0.54339,0.83599,1.07149,0.71613,0.48333,0.36272,0.30144,0.60128,3.48372,1.23958,0.00150197,0.00150197,0.00150197
7,83.8576,0.51503,0.7747,1.05109,0.60634,0.90282,0.88889,0.80164,0.43593,2.3999,1.075,0.00146896,0.00146896,0.00146896
