epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5124,0.53424,1.75884,0.98061,0.78945,0.72264,0.83378,0.70995,0.46838,2.28548,0.90992,0.00054409,0.00054409,0.00054409
2,42.0133,0.50143,1.1411,0.9426,0.80543,0.83073,0.92637,0.87018,0.38277,1.20184,0.85369,0.000882005,0.000882005,0.000882005
3,57.2411,0.50938,0.98549,0.94729,0.92158,0.72335,0.92784,0.8567,0.37039,1.37315,0.85266,0.000999876,0.000999876,0.000999876
4,72.4985,0.43592,0.85785,0.90058,0.9184,0.78144,0.95883,0.94032,0.29024,1.11174,0.82215,0.000676802,0.000676802,0.000676802
5,87.7836,0.38639,0.78382,0.90032,0.75265,1,0.95648,0.94105,0.24614,0.85609,0.81381,0.000346736,0.000346736,0.000346736
