epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.7351,0.53424,1.75884,0.98061,0.78945,0.72264,0.83378,0.70995,0.46838,2.28548,0.90992,0.00054409,0.00054409,0.00054409
2,43.7633,0.52636,1.14856,0.9531,0.68138,0.9651,0.87996,0.80415,0.46482,1.3808,0.89028,0.00105621,0.00105621,0.00105621
3,60.8289,0.55847,1.01001,0.96937,0.56652,0.86319,0.88709,0.79342,0.48494,2.15767,0.89536,0.00152431,0.00152431,0.00152431
4,77.671,0.50695,0.86407,0.92113,0.69758,0.72447,0.79748,0.69435,0.52231,1.39327,0.93708,0.00146896,0.00146896,0.00146896
5,94.6558,0.51757,0.80642,0.93696,0.79934,0.93103,0.93844,0.89255,0.36593,0.86656,0.85341,0.00140295,0.00140295,0.00140295
6,116.521,0.46545,0.7351,0.9298,0.82262,0.86207,0.95216,0.91584,0.29743,0.7493,0.83023,0.00133693,0.00133693,0.00133693
