epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5659,0.53424,1.75884,0.98061,0.78945,0.72264,0.83378,0.70995,0.46838,2.28548,0.90992,0.00054409,0.00054409,0.00054409
2,45.5931,0.52597,1.16399,0.95037,0.90267,0.71252,0.89512,0.84107,0.43919,1.18346,0.8739,0.00107798,0.00107798,0.00107798
3,62.48,0.57719,1.01651,0.97617,0.70158,0.87466,0.88564,0.8035,0.44078,1.29763,0.86705,0.00158987,0.00158987,0.00158987
4,79.4429,0.51433,0.8785,0.93046,0.8242,0.77562,0.89554,0.80675,0.50486,1.44548,0.9077,0.00156798,0.00156798,0.00156798
5,96.5972,0.50071,0.78754,0.941,0.762,0.99717,0.95055,0.89042,0.38203,0.80125,0.86732,0.00153497,0.00153497,0.00153497
6,114.134,0.48501,0.73733,0.93058,0.83542,0.77865,0.87811,0.85622,0.2956,0.81384,0.83962,0.00150197,0.00150197,0.00150197
7,132.124,0.4823,0.70715,0.93156,0.90831,0.84852,0.95368,0.91247,0.31985,0.68162,0.84866,0.00146896,0.00146896,0.00146896
8,151.608,0.4336,0.6343,0.91605,0.75006,1,0.95737,0.88456,0.34384,0.71458,0.84428,0.00143595,0.00143595,0.00143595
9,170.42,0.44569,0.59663,0.91565,0.73032,0.9093,0.91872,0.8257,0.3707,0.74358,0.87894,0.00140295,0.00140295,0.00140295
10,188.868,0.40292,0.5648,0.89277,0.77346,0.91117,0.94765,0.93303,0.27608,0.65396,0.81905,0.00136994,0.00136994,0.00136994
11,206.831,0.41278,0.55927,0.89902,0.83388,0.93103,0.95878,0.93105,0.34297,0.51059,0.84854,0.00133693,0.00133693,0.00133693
12,225.043,0.3774,0.54333,0.89073,0.91206,0.76424,0.94231,0.92068,0.29282,0.53811,0.8359,0.00130393,0.00130393,0.00130393
13,243.316,0.38481,0.51253,0.90045,0.78714,0.92279,0.94756,0.91393,0.31549,0.62707,0.84315,0.00127092,0.00127092,0.00127092
14,261.62,0.37166,0.51041,0.8915,0.92879,0.86207,0.9546,0.93021,0.29475,0.48247,0.82916,0.00123791,0.00123791,0.00123791
15,280.125,0.37665,0.53707,0.89057,0.81487,0.92759,0.95159,0.9269,0.27003,0.50284,0.81731,0.00120491,0.00120491,0.00120491
