epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9423,0.69924,2.18562,1.15886,0.97856,0.23404,0.58384,0.50506,0.48724,2.97245,0.98882,0.0005001,0.0005001,0.0005001
2,57.5882,0.66259,1.52377,1.10005,0.55757,0.66104,0.60782,0.5433,0.49594,2.54615,1.03979,0.00081553,0.00081553,0.00081553
3,77.998,0.6597,1.28721,1.0813,0.8393,0.65077,0.83408,0.72058,0.5145,2.14364,0.9833,0.000926319,0.000926319,0.000926319
4,97.4994,0.63233,1.17325,1.08614,0.81188,0.75679,0.80936,0.59622,0.60165,2.47785,1.09764,0.000676802,0.000676802,0.000676802
5,117.547,0.58825,1.10808,1.06038,0.75138,0.81302,0.83882,0.80083,0.32502,1.85689,0.87237,0.000346736,0.000346736,0.000346736
