_id,wkb_geometry,country,project name,type,status,capacity (mw),year of completion,country list of sponsor/developer,sponsor/developer company,country list of lender/financier,lender/financier company,country list of construction/epc,construction company/epc participant,country_1,province/state,district,tributary,latitude,longitude,proximity,avg. annual output (mwh),data source,announcement/more information,link
514,0101000020E6100000755B22179C9F5740F08B4B55DA623240,Myanmar,Than Dwe,Hydro,Potential,39,,,,,,,,,Rakhine,Thandwe,Rakhine,18.386144,94.493902,,,International Finance Corporation,https://www.ifc.org/wps/wcm/connect/industry_ext_content/ifc_external_corporate_site/hydro+advisory/resources/sea+of+the+hydropower+sector+in+myanmar+resources+page,
515,0101000020E61000007978CF81E5A45740BCCE86FC33F33140,Myanmar,Kyein Ta Li,Hydro,Potential,28,,,,,,,,,Rakhine,,Rakhine,17.950012,94.576508,,,International Finance Corporation,https://www.ifc.org/wps/wcm/connect/industry_ext_content/ifc_external_corporate_site/hydro+advisory/resources/sea+of+the+hydropower+sector+in+myanmar+resources+page,
516,0101000020E610000047205ED72FD65840A8FE412443323440,Myanmar,Nam Hkok,Hydro,Potential,30,,,,,,,,,Shan,Mong Hsat,Mekong,20.196337,99.34667,,,International Finance Corporation,https://www.ifc.org/wps/wcm/connect/industry_ext_content/ifc_external_corporate_site/hydro+advisory/resources/sea+of+the+hydropower+sector+in+myanmar+resources+page,
517,0101000020E6100000FEB5BC72BD29574001DA56B3CEE43440,Myanmar,Saing Din,Hydro,Potential,76.5,,,,,,,,,Rakhine,,Rakhine,20.893779,92.652188,,,International Finance Corporation,https://www.ifc.org/wps/wcm/connect/industry_ext_content/ifc_external_corporate_site/hydro+advisory/resources/sea+of+the+hydropower+sector+in+myanmar+resources+page,
518,0101000020E6100000B75D68AED3BE58405D363AE7A7A82940,Myanmar,Sar Ra Wa Chaung,Hydro,Potential,11,,,,,,,,,Tanintharyi,,Tanintharyi,12.829406,98.98167,,,International Finance Corporation,https://www.ifc.org/wps/wcm/connect/industry_ext_content/ifc_external_corporate_site/hydro+advisory/resources/sea+of+the+hydropower+sector+in+myanmar+resources+page,
519,0101000020E6100000FF21FDF675845A4065AA605452172B40,Cambodia,Sekong,Hydro,Planned,148,,Vietnam,EVN (Vietnam),,,,,Cambodia,Stung Treng,Siem Pang,,13.54555,106.0697,,,OpenDevelopment,https://www.internationalrivers.org/sites/default/files/attached-files/3s_rivers_english.pdf,
520,0101000020E6100000AB7823F3C8D35840381092054C602C40,Thailand,Ban Chan De Hydropower Plant,Hydro,Under Construction,18,2020,Thailand,EGAT (Thailand),,,,,Thailand,Kanchanaburi,Muang Kanchanaburi,Nam Mae Khlong Mainstem,14.18808,99.30914,"Actual location unknown, currently sited at locality in link/announcement",,Electricity Generating Authority of Thailand,,
521,0101000020E61000009A999999996959406FD39FFD48893040,Thailand,Chulabhorn Downstream Hydropower Project,Hydro,Under Construction,1.25,2018,Thailand,EGAT (Thailand),,,,,Thailand,Chaiyaphum,Khon San,Mun-Chi,16.53627,101.65,,,Electricity Generating Authority of Thailand,,
522,0101000020E61000008AB0E1E9952E5940D313967840C93140,Thailand,Klong Tron Hydropower Plant,Hydro,Under Construction,2.5,2018,Thailand,EGAT (Thailand),,,,,Thailand,Uttaradit,Nam Pat,Nan,17.78614,100.7279,,,Electricity Generating Authority of Thailand,https://www.egat.co.th/en/information/power-plants-and-dams?view=article&id=483,
523,0101000020E61000002046088F36C858401AA3755435D12C40,Thailand,Srinagarind Renovation Hydropower Project,Hydro,Under Construction,360,2019,Thailand,EGAT,,,,,Thailand,Kanchanaburi,Si Sawat,Nam Mae Khlong Mainstem,14.40861,99.12833,,,Electricity Generating Authority of Thailand,https://www.egat.co.th/en/information/power-plants-and-dams?view=article&id=60,
